id,title,content,date,hash_tag
minughe,자유롭게 프로그래밍 스터디하실분 | 스터디하자,"이제 Java / 웹개발 처음 시작하는 신입입니다. 수업은 온라인, 오프라인으로 따로 받고있어서직접 코딩하거나, 인강보거나 자유롭게 스터디하려고 합니다.서로 공부하시다가 가끔 서로 공부하는 프로그래밍 지식들, 회사업무 팁 등 자유롭게 공유할 수 있으면 더더 좋겠습니다.실습할 공간과 시간을 공유하고 서로 자극도 받고 자기계발 겸 해서 스터디모집 올려봅니다.시간상 월요일 / 목요일 저녁 08:00 부터 10:00까지 두시간 진행하겠습니다.",2019.04.24 12:38:06,#java #자율스터디
pkeugine,github / 프로젝트 / 해커톤 스터디 | 스터디하자,"github로 서로 프로그래밍 도와주고 프로젝트를 같이 진행해보실 분들 구합니다. github로 하다보니 서울에 거주하지 않으셔도 충분히 하실 수 있구요, 대신 추가로 스터디 하거나 프로젝트/해커톤을 위해 따로 모임을 갖는 경우는 아마 높은 확률로 서울에서 할 것 같습니다.이미 다양한 학교에서 열 분 넘게 신청하셨고 C, C++, JAVA, python, HTML Node.js, 안드로이드 등등 너무나도 다양한 주제로 프로젝트를 진행해보시고 싶어하셔서 폭 넓게 많은 분들을 모시려고 합니다.아무래도 무언가 결과물을 만들어내고 스터디도 오래 공부해야하니 열심히, 최선을 다하실 분들을 모집합니다. 1년이라는 장기간 활동을 고려하고 신청해주세요. 초보자/비전공자/실력자/졸업예정자 아무나 들어오셔서 마음껏 활동하시면 됩니다! 다만 이번달에 중간고사로 인해 4월 말부터 진행할 예정입니다.다음과 같은 활동에 관심있으신 분들을 위한 스터디입니다:1. github로 다양한 사람들과 다양한 주제의 작업에 commit 해보고 싶다2. 실제로 프로젝트를 진행하여 결과물을 만들어보고 경험을 쌓고 싶다3. 스터디를 통해 실력을 쌓고 싶다4. 그렇게 실력을 키워 마음이 맞는 사람들과 해커톤에 나가고 싶다관심이나 질문 있으신 분들은 댓글 남겨 주세요!",2019.04.08 18:45:16,#온라인스터디 #프로젝트 #C #C++ #java #html #node.js #안드로이드 #초보가능 #비전공자 #실력자 #해커톤
minseo413,(강남역)java 기초부터 같이 공부해요~ | 스터디하자,????저도 초보입니다. 기초부터 같이 해요~????일요일 4~5시간/강남,2019.03.28 15:26:28,#강남 #초보가능 
alsdk4556,"프로그래밍 자유 스터디(홍대,합정) | 스터디하자",개인적으로 진행하고 계시는 프로젝트가 있으신 분 !또는 프로그래밍 공부하고 계신 분 ! 같이 모여서 공부해요 .. ㅎ현재 안드로이드 앱 개발하고 있는데막힐 때는 의지가 떨어지기도 하고혼자 하기 심심하기도 해서그냥 같이 앉아서  자유롭게 프로그래밍 하실 분 구합니다 홍대  합정 신촌카페나 마포중앙도서관 자주 갑니다,2019.03.09 23:46:54,#자율스터디 #홍대 #합정 #신촌
kim1788,구글 머신러닝 | 스터디하자,구글에서 주최하는 '머신러닝 스터디 잼 입문자'를 같이 수강해보아요,2019.01.29 01:03:07,#머신러닝 #구글
siz0001,"인천 부평 웹(css, 프론트엔드) 스터디 | 스터디하자",제목 대로입니다! 인천지역 프로그래밍 관련 스터디가 없어 모집해보고있습니다 ㅎㅎ,2019.01.20 02:27:09,#인천
chlwlsdn,중고등학생 코딩 입문/기초 스터디 모집(온라인) | 스터디하자,"온라인으로 (카카오톡/ 디스코드)로 코딩공부하실분 모집합니다!같이 코딩공부도 하고,  간단히 프로젝트도 하는 그런 스터디입니다중,고등학생 위주로 스터디를 꾸릴거라서 중,고등학생(예비 포함)이신분들 댓글 달아주세요!(자유로운 시간대에 자유롭게 활동하시면 됩니다!)물론 지역 상관없습니다",2019.01.13 21:26:06,#온라인스터디 #중학생 #고등학생
studysemina,안드로이드/아이폰코코스2D유니티3D게임스터디세미나(20년차개발자제작시범) | 스터디하자,"안녕하세요주 1회 참여방식입니다.신청하시는 분들은 새로 신청하신 분들 위주로 1주차 스터디세미나 부터 진행합니다.<모집 공고>서울 강남구 근교에서 평일 저녁 또는 토요일 오후에 안드로이드/아이폰 게임 코코스2D+유니티3D 앱 제작 스터디세미나를 진행합니다.랭킹 등 서버 연동 기능이 있는 애니팡, 사천성 등의 단순퍼즐게임 제작 스터디세미나입니다.20년차 현업 개발자가 직접 코딩 시범 보여주면서 진행합니다.총 4개월간 진행하며초반 6주는 코코스2D환경에서, 후반 10주는 유니티3D환경에서 스터디세니마 진행합니다.스터디세미나 참여자를 모집합니다.1) 평일 저녁 7시 이후 또는 토요일 오후 3시 이후에  2시간씩 진행합니다. 주 1회 참여방식입니다.1시간 정도는 현업개발자가 현업 기술 관련 세미나 진행, 1시간 정도는 참여자 서로간 스터디방식 진행입니다.학원수업 또는 과외 방식이 절대 아닙니다.2) 서울 강남구 근교에서 진행합니다.3) C++,C#,Java 언어를 상황별로 검토해서 모두 사용해 진행합니다.4) 스터디세미나 참여비로 스터디룸 대여비용 정도의 소액의 비용이 있습니다.5) 프로그래밍 완전초보자, 게임 제작 완전초보자도 지원 가능합니다.6) 1월28일 월요일 이후 시작할 예정입니다. 7) 4달 스터디세미나 진행하면서 1차 버전 안드로이드 게임 앱 제작해서 구글 마켓에 릴리즈할 예정입니다.8) 모임 참석시에 노트북 필수 지참입니다.희망자는 studysemina@naver.com                으로 간단한 자기소개 적어서 보내주시면,2~3일 내로 답변드리도록 하겠습니다.",2019.01.11 17:06:34,#강남 #개발자참여 #코코스2D+유니티3D앱제작스터디 #게임제작스터디 #C++ #C# #java #초
myhelen98,판교 프로그래밍 스터디(오프라인) | 스터디하자,"공부 내용 : 파이썬, R 프로그래밍목표 : 2019년 3월까지 파이썬 책 1권, R 책 1권이상씩 떼기진행방식 : 코딩할 목표 챕터 주중에 읽어온 후 스터디 당일에는 코딩 작업하기, 따라서 노트북 필참.시간 : 주말 저녁 5시~10시 사이 두세시간관심있으신 분들 오픈 카톡으로 톡 주세요!!https://open.kakao.com/o/sEPNMT9",2019.01.06 16:48:01,#python #R #노트북필참
studysemina,안드로이드SNS+이커머스앱스터디세미나(현업19년차개발자가 제작시범) | 스터디하자,"안녕하세요주 1회 참여방식입니다.신청하시는 분들은 새로 신청하신 분들 위주로 1주차 스터디세미나 부터 진행하거나,본인이 희망하시면 기존 모임의 3주차 모임에 합류하시게 됩니다.<모집 공고>서울 강남구 근교에서 평일 저녁 또는 토요일 오후에 안드로이드 SNS+ECommerce 앱 제작 스터디세미나를 진행합니다.19년차 현업 개발자가 직접 코딩 시범 보여주면서 진행합니다.스터디세미나 참여자를 모집합니다.1) 평일 저녁 7시 이후 또는 토요일 오후 3시 이후에  2시간씩 진행합니다. 주 1회 참여방식입니다.1시간 정도는 현업개발자가 현업 기술 관련 세미나 진행, 1시간 정도는 참여자 서로간 스터디방식 진행입니다.학원수업 또는 과외 방식이 절대 아닙니다.2) 서울 강남구 근교에서 진행합니다.3) 자바 언어를 사용해 진행합니다.4) 스터디세미나 참여비로 스터디룸 대여비용 정도의 소액의 비용이 있습니다.5) 프로그래밍 완전초보자, 안드로이드 완전초보자도 지원 가능합니다.6) 1월15일 화요일 이후 시작할 예정입니다. 7) 3달 스터디세미나 진행하면서 1차 버전 안드로이드 SNS+ECommerce 앱 제작해서 구글 마켓에 릴리즈할 예정입니다.희망자는 studysemina@naver.com     으로 간단한 자기소개 적어서 보내주시면,2~3일 내로 답변드리도록 하겠습니다.",2019.01.03 00:01:19,#강남 #개발자참여 #안드로이드SNS+이커머스앱제작스터디 #스터디세미나 #초보가능 #java
studysemina,"아이폰 SNS+이커머스앱 스터디세미나(19년차개발자가제작시범,매주진행) | 스터디하자","안녕하세요주 1회 참여방식입니다.신청하시는 분들은 새로 신청하신 분들 위주로 1주차 스터디세미나 부터 진행하거나,본인이 희망하시면 기존 모임의 3주차 모임에 합류하시게 됩니다.<모집 공고>서울 강남구 근교에서 평일 저녁 또는 토요일 오후에 아이폰 SNS+ECommerce 앱 제작 스터디세미나를 진행합니다.19년차 현업 개발자가 직접 코딩 시범 보여주면서 진행합니다.스터디세미나 참여자를 모집합니다.1) 평일 저녁 7시 이후 또는 토요일 오후 3시 이후에  2시간씩 진행합니다. 주 1회 참여방식입니다.1시간 정도는 현업개발자가 현업 기술 관련 세미나 진행, 1시간 정도는 참여자 서로간 스터디방식 진행입니다.학원수업 또는 과외 방식이 절대 아닙니다.2) 서울 강남구 근교에서 진행합니다.3) 스위프트 언어와 오브젝트C 언어를 상황별로 검토해서 둘다 사용해 진행합니다.4) 스터디세미나 참여비로 스터디룸 대여비용 정도의 소액의 비용이 있습니다.5) 프로그래밍 완전초보자, 아이폰 완전초보자도 지원 가능합니다.6) 1월7일 월요일 이후 시작할 예정입니다. 7) 3~4달 스터디세미나 진행하면서 1차 버전 아이폰 ECommerce+SNS 앱 제작해서 애플 앱스토어 통해서 정식 릴리즈 또는 애플 앱스토어 베타테스트 TestFlight 릴리즈 또는 Adhoc 클로즈테스트 릴리즈 할 예정입니다.8) 모임에 개인 맥북지참하시고 참여하시면 제일 좋고요, 집에 개인 아이맥,맥북, 기타 xcode개발환경 등등 가지고 계신상태에서 모임에 맥북없이 몸만 오셔도 참여는 가능합니다. 희망자는 studysemina@naver.com     으로 간단한 자기소개 적어서 보내주시면,2~3일 내로 답변드리도록 하겠습니다.",2018.12.27 00:22:10,#강남 #개발자참여 #아이폰SNS+이커머스앱제작스터디 #스터디세미나 #초보가능 #스위프트 #C
studysemina,"아이폰 SNS+이커머스앱 스터디세미나(19년차개발자가제작시범,매주진행) | 스터디하자","안녕하세요주 1회 참여방식입니다.신청하시는 분들은 새로 신청하신 분들 위주로 1주차 스터디세미나 부터 진행하거나,본인이 희망하시면 기존 모임의 3주차 모임에 합류하시게 됩니다.<모집 공고>서울 강남구 근교에서 평일 저녁 또는 토요일 오후에 아이폰 SNS+ECommerce 앱 제작 스터디세미나를 진행합니다.19년차 현업 개발자가 직접 코딩 시범 보여주면서 진행합니다.스터디세미나 참여자를 모집합니다.1) 평일 저녁 7시 이후 또는 토요일 오후 3시 이후에  2시간씩 진행합니다. 주 1회 참여방식입니다.1시간 정도는 현업개발자가 현업 기술 관련 세미나 진행, 1시간 정도는 참여자 서로간 스터디방식 진행입니다.학원수업 또는 과외 방식이 절대 아닙니다.2) 서울 강남구 근교에서 진행합니다.3) 스위프트 언어와 오브젝트C 언어를 상황별로 검토해서 둘다 사용해 진행합니다.4) 스터디세미나 참여비로 스터디룸 대여비용 정도의 소액의 비용이 있습니다.5) 프로그래밍 완전초보자, 아이폰 완전초보자도 지원 가능합니다.6) 12월11일 화요일 이후 시작할 예정입니다. 7) 3~4달 스터디세미나 진행하면서 1차 버전 아이폰 ECommerce+SNS 앱 제작해서 애플 앱스토어 통해서 정식 릴리즈 또는 애플 앱스토어 베타테스트 TestFlight 릴리즈 또는 Adhoc 클로즈테스트 릴리즈 할 예정입니다.8) 모임에 개인 맥북지참하시고 참여하시면 제일 좋고요, 집에 개인 아이맥,맥북, 기타 xcode개발환경 등등 가지고 계신상태에서 모임에 맥북없이 몸만 오셔도 참여는 가능합니다. 희망자는 studysemina@naver.com     으로 간단한 자기소개 적어서 보내주시면,2~3일 내로 답변드리도록 하겠습니다.",2018.11.29 00:12:56,#강남 #개발자참여 #아이폰SNS+이커머스앱제작스터디 #스터디세미나 #초보가능 #스위프트 #C
studysemina,안드로이드SNS+이커머스앱스터디세미나(현업19년차개발자가 제작시범) | 스터디하자,"안녕하세요주 1회 참여방식입니다.신청하시는 분들은 새로 신청하신 분들 위주로 1주차 스터디세미나 부터 진행하거나,본인이 희망하시면 기존 모임의 3주차 모임에 합류하시게 됩니다.<모집 공고>서울 강남구 근교에서 평일 저녁 또는 토요일 오후에 안드로이드 SNS+ECommerce 앱 제작 스터디세미나를 진행합니다.19년차 현업 개발자가 직접 코딩 시범 보여주면서 진행합니다.스터디세미나 참여자를 모집합니다.1) 평일 저녁 7시 이후 또는 토요일 오후 3시 이후에  2시간씩 진행합니다. 주 1회 참여방식입니다.1시간 정도는 현업개발자가 현업 기술 관련 세미나 진행, 1시간 정도는 참여자 서로간 스터디방식 진행입니다.학원수업 또는 과외 방식이 절대 아닙니다.2) 서울 강남구 근교에서 진행합니다.3) 자바 언어를 사용해 진행합니다.4) 스터디세미나 참여비로 스터디룸 대여비용 정도의 소액의 비용이 있습니다.5) 프로그래밍 완전초보자, 안드로이드 완전초보자도 지원 가능합니다.6) 12월5일 수요일 이후 시작할 예정입니다. 7) 3달 스터디세미나 진행하면서 1차 버전 안드로이드 SNS+ECommerce 앱 제작해서 구글 마켓에 릴리즈할 예정입니다.희망자는 studysemina@naver.com     으로 간단한 자기소개 적어서 보내주시면,2~3일 내로 답변드리도록 하겠습니다.",2018.11.21 19:20:31,#강남 #개발자참여 #안드로이드SNS+이커머스앱제작스터디 #스터디세미나 #초보가능 #java
studysemina,"아이폰 SNS+이커머스앱 스터디세미나(19년차개발자가제작시범,매주진행) | 스터디하자","안녕하세요주 1회 참여방식입니다.신청하시는 분들은 새로 신청하신 분들 위주로 1주차 스터디세미나 부터 진행하거나,본인이 희망하시면 기존 모임의 3주차 모임에 합류하시게 됩니다.<모집 공고>서울 강남구 근교에서 평일 저녁 또는 토요일 오후에 아이폰 SNS+ECommerce 앱 제작 스터디세미나를 진행합니다.19년차 현업 개발자가 직접 코딩 시범 보여주면서 진행합니다.스터디세미나 참여자를 모집합니다.1) 평일 저녁 7시 이후 또는 토요일 오후 3시 이후에  2시간씩 진행합니다. 주 1회 참여방식입니다.1시간 정도는 현업개발자가 현업 기술 관련 세미나 진행, 1시간 정도는 참여자 서로간 스터디방식 진행입니다.학원수업 또는 과외 방식이 절대 아닙니다.2) 서울 강남구 근교에서 진행합니다.3) 스위프트 언어와 오브젝트C 언어를 상황별로 검토해서 둘다 사용해 진행합니다.4) 스터디세미나 참여비로 스터디룸 대여비용 정도의 소액의 비용이 있습니다.5) 프로그래밍 완전초보자, 아이폰 완전초보자도 지원 가능합니다.6) 11월27일 화요일 이후 시작할 예정입니다. 7) 3~4달 스터디세미나 진행하면서 1차 버전 아이폰 ECommerce+SNS 앱 제작해서 애플 앱스토어 통해서 정식 릴리즈 또는 애플 앱스토어 베타테스트 TestFlight 릴리즈 또는 Adhoc 클로즈테스트 릴리즈 할 예정입니다.8) 모임에 개인 맥북지참하시고 참여하시면 제일 좋고요, 집에 개인 아이맥,맥북, 기타 xcode개발환경 등등 가지고 계신상태에서 모임에 맥북없이 몸만 오셔도 참여는 가능합니다. 희망자는 studysemina@naver.com     으로 간단한 자기소개 적어서 보내주시면,2~3일 내로 답변드리도록 하겠습니다.",2018.11.14 02:10:48,#강남 #개발자참여 #아이폰SNS+이커머스앱제작스터디 #스터디세미나 #초보가능 #스위프트 #C
studysemina,안드로이드SNS+이커머스앱스터디세미나(현업19년차개발자가 제작시범) | 스터디하자,"안녕하세요주 1회 참여방식입니다.신청하시는 분들은 새로 신청하신 분들 위주로 1주차 스터디세미나 부터 진행하거나,본인이 희망하시면 기존 모임의 3주차 모임에 합류하시게 됩니다.<모집 공고>서울 강남구 근교에서 평일 저녁 또는 토요일 오후에 안드로이드 SNS+ECommerce 앱 제작 스터디세미나를 진행합니다.19년차 현업 개발자가 직접 코딩 시범 보여주면서 진행합니다.스터디세미나 참여자를 모집합니다.1) 평일 저녁 7시 이후 또는 토요일 오후 3시 이후에  2시간씩 진행합니다. 주 1회 참여방식입니다.1시간 정도는 현업개발자가 현업 기술 관련 세미나 진행, 1시간 정도는 참여자 서로간 스터디방식 진행입니다.학원수업 또는 과외 방식이 절대 아닙니다.2) 서울 강남구 근교에서 진행합니다.3) 자바 언어를 사용해 진행합니다.4) 스터디세미나 참여비로 스터디룸 대여비용 정도의 소액의 비용이 있습니다.5) 프로그래밍 완전초보자, 안드로이드 완전초보자도 지원 가능합니다.6) 11월21일 수요일 이후 시작할 예정입니다. 7) 3달 스터디세미나 진행하면서 1차 버전 안드로이드 SNS+ECommerce 앱 제작해서 구글 마켓에 릴리즈할 예정입니다.희망자는 studysemina@naver.com     으로 간단한 자기소개 적어서 보내주시면,2~3일 내로 답변드리도록 하겠습니다.",2018.11.07 11:07:32,#강남 #개발자참여 #안드로이드SNS+이커머스앱제작스터디 #스터디세미나 #초보가능 #java
